naca 63(4)-021
1.000000  0.00000
0.950000  0.00392
0.900000  0.01113
0.850000  0.02021
0.800000  0.03054
0.750000  0.04160
0.700000  0.05290
0.650000  0.06396
0.600000  0.07441
0.550000  0.08390
0.500000  0.09206
0.450000  0.09854
0.400000  0.10298
0.350000  0.10500
0.300000  0.10412
0.250000  0.10053
0.200000  0.09410
0.150000  0.08441
0.100000  0.07080
0.075000  0.06182
0.050000  0.05065
0.025000  0.03577
0.012500  0.02577
0.007500  0.01937
0.005000  0.01583
0.000000  0.00000
0.005000 -0.01583
0.007500 -0.01937
0.012500 -0.02577
0.025000 -0.03577
0.050000 -0.05065
0.075000 -0.06182
0.100000 -0.07080
0.150000 -0.08441
0.200000 -0.09410
0.250000 -0.10053
0.300000 -0.10412
0.350000 -0.10500
0.400000 -0.10298
0.450000 -0.09854
0.500000 -0.09206
0.550000 -0.08390
0.600000 -0.07441
0.650000 -0.06396
0.700000 -0.05290
0.750000 -0.04160
0.800000 -0.03054
0.850000 -0.02021
0.900000 -0.01113
0.950000 -0.00392
1.000000 -0.00000
