naca 64-006
1.000000  0.00000
0.950000  0.00157
0.900000  0.00423
0.850000  0.00737
0.800000  0.01072
0.750000  0.01412
0.700000  0.01740
0.650000  0.02050
0.600000  0.02331
0.550000  0.02575
0.500000  0.02775
0.450000  0.02919
0.400000  0.02995
0.350000  0.02981
0.300000  0.02907
0.250000  0.02772
0.200000  0.02572
0.150000  0.02298
0.100000  0.01928
0.075000  0.01692
0.050000  0.01405
0.025000  0.01024
0.012500  0.00754
0.007500  0.00596
0.005000  0.00494
0.000000  0.00000
0.005000 -0.00494
0.007500 -0.00596
0.012500 -0.00754
0.025000 -0.01024
0.050000 -0.01405
0.075000 -0.01692
0.100000 -0.01928
0.150000 -0.02298
0.200000 -0.02572
0.250000 -0.02772
0.300000 -0.02907
0.350000 -0.02981
0.400000 -0.02995
0.450000 -0.02919
0.500000 -0.02775
0.550000 -0.02575
0.600000 -0.02331
0.650000 -0.02050
0.700000 -0.01740
0.750000 -0.01412
0.800000 -0.01072
0.850000 -0.00737
0.900000 -0.00423
0.950000 -0.00157
1.000000 -0.00000
